setup,bars_forward,minutes_forward,n,win_rate,median_ret,mean_ret,expectancy,std_ret,sharpe
setup_h1_bull_engulf,3,36,1414,0.8606789250353607,0.0008418560089073603,0.0011862064079239505,0.0011852391504788137,0.0016234335394143381,88.28810181098184
setup_h1_bull_engulf,4,48,1414,0.9108910891089109,0.0011203649854433534,0.0014938428883756033,0.0014938428883756035,0.00171801347332364,90.98827218240773
setup_h1_bull_engulf,5,60,1414,0.8493635077793493,0.001090589585498741,0.001502718482239784,0.0015021810728383476,0.0020609521500901057,68.24357541331042
setup_h1_bull_engulf,6,72,1414,0.8267326732673267,0.0010600922706160525,0.001519060680127508,0.0015184388214194277,0.002336421980049014,55.550154258100875
setup_h1_bull_engulf,7,84,1414,0.7913719943422913,0.001072507049430781,0.0014783894158889531,0.0014768086876982979,0.002540113072331923,46.03878252553684
setup_h1_bull_engulf,8,96,1414,0.7567185289957568,0.0010889917813880874,0.0014274606076099719,0.0014265861963773886,0.002712689327348131,38.93643052074666
setup_h1_bull_engulf,9,108,1414,0.7567185289957568,0.0011170314581912632,0.001431362165165495,0.0014284346958458635,0.00277515634097906,35.98138526433503
setup_h1_bull_engulf,10,120,1414,0.751060820367751,0.001138062883451266,0.001496839335009531,0.001493538302146785,0.003097136515239072,31.98540793822402
setup_h1_bull_engulf,11,132,1414,0.7538896746817539,0.0011540771695924268,0.001522476946972102,0.0015212302137308275,0.0033166681354480257,28.966059582512585
setup_h1_bull_engulf,12,144,1414,0.731966053748232,0.0011113860677022102,0.0014752296418201662,0.0014738832276858075,0.0034855948044573547,25.56990784030274
setup_h1_bull_engulf,13,156,1414,0.7227722772277227,0.001139591059443458,0.001486447404949798,0.001486447404949798,0.003702377416956444,23.304202102290045
setup_h1_bull_engulf,14,168,1414,0.71004243281471,0.0011639095094251135,0.0014274839908139942,0.0014259296505207378,0.003839961123381245,20.793014492426
setup_h1_bull_engulf,15,180,1414,0.7008486562942009,0.0011200536281999818,0.0014728628016361127,0.0014712662702524933,0.0041709001372864886,19.08200159397442
setup_h1_bull_engulf,16,192,1414,0.6874115983026874,0.0011354819669824137,0.0014553139135179281,0.0014536457062470187,0.004335282938947118,17.563711658321292
setup_h1_bull_engulf,17,204,1414,0.6768033946251768,0.0011022526928132646,0.001439763949434993,0.001438099710612536,0.004435352562203943,16.476908968133056
setup_h1_bull_engulf,18,216,1414,0.6718528995756718,0.0010965306952349246,0.0013939091993766654,0.001388593220580268,0.0044945575228655995,15.298482144792267
