setup,session,horizon,n,win_rate,expectancy,profit_factor,avg_win,avg_loss
setup_h1_trend_pullback_long,asian,H1_3,14496,0.5126241721854304,0.00019590098652593152,1.2265751403796668,0.0020923928943023355,-0.0017988380604219037
setup_h1_trend_pullback_long,london,M12_2,17348,0.5314157251556375,9.619341871381926e-05,1.270096184021516,0.0008658530059772108,-0.00077666815527821
setup_h1_trend_pullback_long,london,M12_5,17348,0.5314733686880332,0.00014300132663128606,1.235039634974259,0.0014288290774152426,-0.0013155778887018927
setup_h1_trend_pullback_long,london,M12_10,17348,0.5279571132118976,0.0001835820212697716,1.1947062143662552,0.0021498024542900064,-0.00201554033140239
setup_h1_trend_pullback_long,london,H1_1,17348,0.5314733686880332,0.00014300132663128606,1.235039634974259,0.0014288290774152426,-0.0013155778887018927
setup_h1_trend_pullback_long,london,H1_3,17348,0.5296287756513719,0.0002443009113255207,1.200449100360703,0.0027777428931690927,-0.002608305084897364
setup_h1_trend_pullback_long,ny,M12_2,14643,0.5484531858225773,0.00015422589709836187,1.3720534094273678,0.0010464004842010062,-0.0009294181000313017
setup_h1_trend_pullback_long,ny,M12_5,14643,0.535614286689886,0.00022176648073017364,1.3161065209681755,0.0017327389062940627,-0.0015209624506959416
setup_h1_trend_pullback_long,ny,M12_10,14643,0.5229802636071843,0.00025843555179625366,1.2413073140744266,0.0025571945997519513,-0.0022618073672080025
setup_h1_trend_pullback_long,ny,H1_1,14643,0.535614286689886,0.00022176648073017364,1.3161065209681755,0.0017327389062940627,-0.0015209624506959416
setup_h1_trend_pullback_long,ny,H1_3,14643,0.5233217236905006,0.0003101095344064204,1.2293023792857005,0.003192825739863372,-0.0028546833427306306
setup_h1_trend_pullback_long,overlap,M12_2,6550,0.5389312977099237,0.00012387638744751388,1.3022283098761662,0.0010002848073917344,-0.0009005347789111279
setup_h1_trend_pullback_long,overlap,M12_5,6550,0.5302290076335878,0.0001824925829219693,1.2430058164469555,0.0017747780813585933,-0.0016147149361129336
setup_h1_trend_pullback_long,overlap,M12_10,6550,0.5187786259541984,0.00018691640711719312,1.1426698982864347,0.002898616963184168,-0.002736420677119983
setup_h1_trend_pullback_long,overlap,H1_1,6550,0.5302290076335878,0.0001824925829219693,1.2430058164469555,0.0017747780813585933,-0.0016147149361129336
setup_h1_trend_pullback_long,overlap,H1_3,6550,0.5117557251908397,0.00021957820098599868,1.1242426894307391,0.003912104052909279,-0.003650761591273799
