setup,day_of_week,horizon,n,win_rate,expectancy,profit_factor
confluence_d1_h4_h1_long,Tue,H1_3,6513,0.6270535851374175,0.001031446247779027,2.8755747876724858
confluence_d1_h4_h1_long,Wed,M12_2,5881,0.5674205067165448,0.00021166381472958264,1.7048308760128943
confluence_d1_h4_h1_long,Wed,M12_5,5881,0.597347389899677,0.00046691131902798543,2.1130668287089125
confluence_d1_h4_h1_long,Wed,M12_10,5881,0.612310831491243,0.0007375997819668682,2.294322808906434
confluence_d1_h4_h1_long,Wed,H1_1,5881,0.597347389899677,0.00046691131902798543,2.1130668287089125
confluence_d1_h4_h1_long,Wed,H1_3,5881,0.6153715354531543,0.0009529391282785041,2.367074228124096
confluence_d1_h4_h1_long,Thu,M12_2,5640,0.5723404255319149,0.0002050145691991519,1.7655950956595141
confluence_d1_h4_h1_long,Thu,M12_5,5640,0.5925531914893617,0.00043494713556513565,2.1593806758684093
confluence_d1_h4_h1_long,Thu,M12_10,5640,0.6216312056737588,0.0007883130139505381,2.7518069751169483
confluence_d1_h4_h1_long,Thu,H1_1,5640,0.5925531914893617,0.00043494713556513565,2.1593806758684093
confluence_d1_h4_h1_long,Thu,H1_3,5640,0.6386524822695036,0.0011313699414660918,3.2601403572803456
confluence_d1_h4_h1_long,Fri,M12_2,6147,0.5796323409793395,0.00023272577947414146,1.8422792852234224
confluence_d1_h4_h1_long,Fri,M12_5,6147,0.6017569546120058,0.0004963156078471129,2.219193738069284
confluence_d1_h4_h1_long,Fri,M12_10,6147,0.6105417276720352,0.0008572683005206547,2.5423804371645
confluence_d1_h4_h1_long,Fri,H1_1,6147,0.6017569546120058,0.0004963156078471129,2.219193738069284
confluence_d1_h4_h1_long,Fri,H1_3,6147,0.6258337400357898,0.0011621677066758116,2.670616153855301
setup_h4_vol_compress,Mon,M12_2,1033,0.48596321393998065,-4.225932873766109e-05,0.8391778992880112
setup_h4_vol_compress,Mon,M12_5,1033,0.46950629235237173,-9.720979777336306e-05,0.7840242143110836
setup_h4_vol_compress,Mon,M12_10,1033,0.4888673765730881,-0.00010162284648035987,0.8433533239540449
setup_h4_vol_compress,Mon,H1_1,1033,0.46950629235237173,-9.720979777336306e-05,0.7840242143110836
setup_h4_vol_compress,Mon,H1_3,1033,0.5130687318489835,-7.89494038199686e-05,0.9027050557689952
setup_h4_vol_compress,Tue,M12_2,1220,0.519672131147541,6.101515912677026e-05,1.3240017631423766
setup_h4_vol_compress,Tue,M12_5,1220,0.5278688524590164,0.00015592843680420023,1.5914274102391224
setup_h4_vol_compress,Tue,M12_10,1220,0.5745901639344262,0.0002706484423364732,1.7305340066715533
setup_h4_vol_compress,Tue,H1_1,1220,0.5278688524590164,0.00015592843680420023,1.5914274102391224
setup_h4_vol_compress,Tue,H1_3,1220,0.6040983606557377,0.00033558361015029864,1.6440297706180214
setup_h4_vol_compress,Wed,M12_2,1434,0.5,1.3953136970098546e-05,1.0687406659311633
