setup,context,horizon,n,win_rate,expectancy,profit_factor
setup_d1_breakout_up,vol_low,M12_5,82,0.47560975609756095,-1.0436075362022944e-05,0.9753626070421201
setup_d1_breakout_up,vol_low,M12_10,82,0.5609756097560976,0.0002715306218970514,2.217386599702193
setup_d1_breakout_up,vol_low,H1_1,82,0.47560975609756095,-1.0436075362022944e-05,0.9753626070421201
setup_d1_breakout_up,vol_low,H1_3,82,0.6341463414634146,0.0007023160799593767,3.1234423905014346
setup_d1_breakout_up,vol_high,M12_2,85,0.5647058823529412,0.0005413687458047676,2.039439719774505
setup_d1_breakout_up,vol_high,M12_5,85,0.6823529411764706,0.0013159286671047387,3.376457748336192
setup_d1_breakout_up,vol_high,M12_10,85,0.6352941176470588,0.001993579718752256,3.7756718439911205
setup_d1_breakout_up,vol_high,H1_1,85,0.6823529411764706,0.0013159286671047387,3.376457748336192
setup_d1_breakout_up,vol_high,H1_3,85,0.6941176470588235,0.002994648917138503,4.993325981353142
setup_d1_breakout_up,vol_normal,M12_2,82,0.6219512195121951,0.00014996573806357207,2.0638023386633013
setup_d1_breakout_up,vol_normal,M12_5,82,0.6097560975609756,0.00033606462732051884,2.5093079177625817
setup_d1_breakout_up,vol_normal,M12_10,82,0.6097560975609756,0.0007144803172210204,2.967482900985119
setup_d1_breakout_up,vol_normal,H1_1,82,0.6097560975609756,0.00033606462732051884,2.5093079177625817
setup_d1_breakout_up,vol_normal,H1_3,82,0.7195121951219512,0.0014058962088296487,5.803795270651755
confluence_d1_h4_h1_long,d1_strong_up,M12_2,7438,0.5855068566819037,0.0002469948648559061,1.9275910227478499
confluence_d1_h4_h1_long,d1_strong_up,M12_5,7438,0.626109169131487,0.0005486456294159115,2.4738362288896716
confluence_d1_h4_h1_long,d1_strong_up,M12_10,7438,0.6531325625168056,0.0009956367931778663,3.1479164124956567
confluence_d1_h4_h1_long,d1_strong_up,H1_1,7438,0.626109169131487,0.0005486456294159115,2.4738362288896716
confluence_d1_h4_h1_long,d1_strong_up,H1_3,7438,0.6746437214304921,0.0014649242657152578,4.000645939355673
confluence_d1_h4_h1_long,d1_strong_down,M12_2,7438,0.5310567356816348,6.159860750402745e-05,1.2183940198020273
confluence_d1_h4_h1_long,d1_strong_down,M12_5,7438,0.5334767410594246,0.0001025818372600867,1.2429826457585367
confluence_d1_h4_h1_long,d1_strong_down,M12_10,7438,0.516402258671686,9.122846337237807e-05,1.151433879043074
confluence_d1_h4_h1_long,d1_strong_down,H1_1,7438,0.5334767410594246,0.0001025818372600867,1.2429826457585367
confluence_d1_h4_h1_long,d1_strong_down,H1_3,7438,0.5014788921753159,2.6440278924784932e-05,1.0341937289566956
confluence_d1_h4_h1_long,d1_neutral,M12_2,14874,0.5873336022589754,0.0002655717591886841,1.92540785779686
confluence_d1_h4_h1_long,d1_neutral,M12_5,14874,0.6101922818340729,0.0005821383796592391,2.458362639701085
confluence_d1_h4_h1_long,d1_neutral,M12_10,14874,0.6424633588812694,0.0009979936666245374,2.981482937905672
confluence_d1_h4_h1_long,d1_neutral,H1_1,14874,0.6101922818340729,0.0005821383796592391,2.458362639701085
confluence_d1_h4_h1_long,d1_neutral,H1_3,14874,0.6620276993411321,0.0013699791533325623,3.3272821041799667
confluence_d1_h4_h1_long,h4_up,M12_2,29750,0.5728067226890756,0.00020993084844884215,1.7457691590862212
confluence_d1_h4_h1_long,h4_up,M12_5,29750,0.5949915966386554,0.0004538520202473751,2.1348724578536564
confluence_d1_h4_h1_long,h4_up,M12_10,29750,0.6136134453781512,0.0007706871023226106,2.4770892631875454
confluence_d1_h4_h1_long,h4_up,H1_1,29750,0.5949915966386554,0.0004538520202473751,2.1348724578536564
confluence_d1_h4_h1_long,h4_up,H1_3,29750,0.6250420168067227,0.001057838004867076,2.713578124284563
confluence_d1_h4_h1_long,h1_up,M12_2,29750,0.5728067226890756,0.00020993084844884215,1.7457691590862212
confluence_d1_h4_h1_long,h1_up,M12_5,29750,0.5949915966386554,0.0004538520202473751,2.1348724578536564
confluence_d1_h4_h1_long,h1_up,M12_10,29750,0.6136134453781512,0.0007706871023226106,2.4770892631875454
confluence_d1_h4_h1_long,h1_up,H1_1,29750,0.5949915966386554,0.0004538520202473751,2.1348724578536564
confluence_d1_h4_h1_long,h1_up,H1_3,29750,0.6250420168067227,0.001057838004867076,2.713578124284563
confluence_d1_h4_h1_long,vol_low,M12_2,9818,0.560297412915054,0.00012658882395434701,1.653002674798841
confluence_d1_h4_h1_long,vol_low,M12_5,9818,0.588816459564066,0.00031192778896898225,2.160861071592366
confluence_d1_h4_h1_long,vol_low,M12_10,9818,0.6143817478101447,0.0005710476705779787,2.591403639291462
confluence_d1_h4_h1_long,vol_low,H1_1,9818,0.588816459564066,0.00031192778896898225,2.160861071592366
confluence_d1_h4_h1_long,vol_low,H1_3,9818,0.6141780403340803,0.0007676918337653494,2.7323351392805115
confluence_d1_h4_h1_long,vol_high,M12_2,10115,0.5895205140879881,0.0003010803182066097,1.7948649180851792
confluence_d1_h4_h1_long,vol_high,M12_5,10115,0.6049431537320811,0.0006235276903072284,2.1659964126394766
confluence_d1_h4_h1_long,vol_high,M12_10,10115,0.6109738012852199,0.0009757777399514744,2.402749562196226
confluence_d1_h4_h1_long,vol_high,H1_1,10115,0.6049431537320811,0.0006235276903072284,2.1659964126394766
confluence_d1_h4_h1_long,vol_high,H1_3,10115,0.625308947108255,0.0012838467046022992,2.561814639403727
confluence_d1_h4_h1_long,vol_normal,M12_2,9817,0.5680961597229296,0.00019991954748064985,1.742036426797106
